WORD_ID,VOCAB_WORD
0,know
1,amaz
2,love
3,like
4,never
5,keep
6,kany
7,hey
8,choru
9,west
10,vers
11,stop
12,thing
13,real
14,see
15,ca
16,got
17,could
18,lockdown
19,okay
20,say
21,oh
22,wrong
23,yeah
24,might
25,life
26,one
27,go
28,ooh
29,way
30,get
31,gon
32,girl
33,worri
34,heartless
35,na
36,night
37,ever
38,street
39,also
40,lose
41,need
42,wan
43,kid
44,everybodi
45,lyric
46,let
47,make
48,take
49,tell
50,babi
51,talk
52,seen
53,news
54,want
55,coldest
56,good
57,light
58,time
59,ta
60,boy
61,stori
62,cold
63,winter
64,friend
65,vision
66,look
67,tonight
68,find
69,told
70,anyway
71,robocop
72,la
73,far
74,drop
75,oooh
76,road
77,wise
78,man
79,head
80,bad
81,cudi
82,back
83,refrain
84,new
85,realli
86,move
87,outro
88,knew
89,wait
90,goodby
91,pinocchio
92,figur
93,turn
94,away
95,spin
96,happen
97,ai
98,paid
99,uh
100,pass
101,glow
102,door
103,ask
104,front
105,moment
106,cab
107,soul
108,hear
109,paranoid
110,hop
111,show
112,somewher
113,come
114,made
115,littl
116,right
117,lost
118,think
119,thought
120,destin
121,memori
122,heard
123,fare
124,hudson
125,feel
126,along
127,world
128,true
129,call
130,pray
131,woman
132,dream
133,leav
134,alway
135,home
136,spoil
137,still
138,bridg
139,everyth
140,left
141,even
142,lil
143,wayn
144,intro
145,run
146,anoth
147,better
148,fight
149,matter
150,reign
151,goe
152,high
153,produc
154,someth
155,tv
156,wo
157,laugh
158,fli
159,said
160,enough
161,day
162,first
163,eye
164,floor
165,play
166,control
167,cut
168,put
169,nightmar
170,break
171,instrument
172,fair
173,heartbreak
174,mind
175,lone
176,well
177,sleep
178,brand
179,stone
180,seem
181,fame
182,decid
183,snow
184,cool
185,start
186,talkin
187,believ
188,long
189,face
190,mean
191,ayo
192,joke
193,god
194,homi
195,room
196,spring
197,june
198,mani
199,card
200,watch
201,monster
202,yo
203,late
204,rule
205,fade
206,melt
207,old
208,mad
209,mile
210,mistak
211,thousand
212,roll
213,pleas
214,histori
215,wast
216,becom
217,jeff
218,bhasker
219,gave
220,act
221,alreadi
222,known
223,would
224,victori
225,choos
226,sacrific
227,fairi
228,mayb
229,big
230,scream
231,touch
232,quit
233,cloth
234,sight
235,tale
236,chasin
237,farewel
238,finish
239,ya
240,alon
241,whole
242,grind
243,spend
244,fault
245,mine
246,song
247,hoe
248,pictur
249,welcom
250,flash
251,buy
252,crazi
253,final
254,reason
255,death
256,oughta
257,check
258,live
259,vibe
260,phone
261,tri
262,hotel
263,sun
264,close
265,mouth
266,return
267,set
268,fine
269,sorri
270,star
271,grow
272,young
273,peopl
274,stank
275,ish
276,cloud
277,resent
278,dude
279,channel
280,cruis
281,repent
282,blue
283,awak
284,meant
285,less
286,miss
287,unless
288,cement
289,commit
290,soon
291,grab
292,neck
293,readi
294,wish
295,admit
296,drink
297,fantas
298,word
299,crib
300,give
301,attitud
302,coupl
303,month
304,nobodi
305,knock
306,somethin
307,hatin
308,enemi
309,ahaha
310,haunt
311,system
312,overload
313,escap
314,low
315,secret
316,code
317,els
318,danger
319,zone
320,racin
321,line
322,bet
323,goin
324,confus
325,leavin
326,caus
327,groov
328,rememb
329,gratitud
330,complain
331,ladi
332,kill
333,checkin
334,sky
335,hood
336,wind
337,breez
338,done
339,us
340,mess
341,though
342,walk
343,around
344,end
345,evil
346,bringin
347,side
348,speak
349,fo
350,hot
351,cell
352,deserv
353,doubt
354,degre
355,stephen
356,king
357,patrol
358,parol
359,gepetto
360,cryin
361,autograph
362,sign
363,camera
364,miseri
365,stamina
366,agre
367,drama
368,disagre
369,shorti
370,kind
371,somebodi
372,façad
373,noth
374,pop
375,use
376,robot
377,fast
378,slow
379,queen
380,guid
381,lookin
382,class
383,report
384,perspect
385,dough
386,car
387,money
388,thinkin
389,dad
390,crack
391,benz
392,screen
393,american
394,chase
395,scene
396,gone
397,marri
398,lake
399,livin
400,cake
401,tour
402,behind
403,baddest
404,besid
405,straight
406,movi
407,stay
408,truth
409,gucci
410,spoon
411,sodium
412,die
413,blood
414,pressur
415,either
416,fed
417,catch
418,born
419,full
420,moon
421,bred
422,goon
423,podium
424,summertim
425,sell
426,famili
427,small
428,hous
429,ysl
430,vuitton
431,hard
432,daughter
433,applaus
434,loui
435,heart
436,stand
437,kept
438,bring
439,must
440,smoke
441,haha
442,lie
443,funni
444,fire
445,exhaust
446,bare
447,breath
448,hold
449,piec
450,spot
451,strive
452,vacat
453,killer
454,problem
455,solv
456,maven
457,chang
458,jail
459,afraid
460,jeezi
461,hell
462,warrior
463,sport
